ID,Exp,R2,Eaten
1,C,0,0.0
1,C,1,1.7064505458408528
1,C,3,2.312697900285922
1,C,6,2.181381691263853
1,C,12,2.2036655429601755
1,C,25,2.284654952942138
2,C,0,0.0
2,C,1,1.6066624091558546
2,C,3,1.7844809110438438
2,C,6,1.7844738540559208
2,C,12,1.712814023322666
2,C,25,1.951505074047322
3,C,0,0.0
3,C,1,1.4893067248055833
3,C,3,1.637188860488544
3,C,6,1.7753130993570931
3,C,12,1.7080236882539133
3,C,25,1.8294312638780568
4,C,0,0.0
4,C,1,1.7526108960243638
4,C,3,1.7933547456745917
4,C,6,2.0873146129706024
4,C,12,1.9263933881811826
4,C,25,1.8682434839005597
5,C,0,0.0
5,C,1,1.6092931925542364
5,C,3,1.7037421766970335
5,C,6,1.7320735028989187
5,C,12,1.8427018822933492
5,C,25,1.8918252417493024
6,C,0,0.0
6,C,1,1.7828506487508775
6,C,3,2.102430257791375
6,C,6,2.2419616610061244
6,C,12,2.258054429079423
6,C,25,2.0831175900161294
7,C,0,0.0
7,C,1,1.3310701865381436
7,C,3,1.611066872569378
7,C,6,1.4501856003743847
7,C,12,1.5698386680644145
7,C,25,1.8015209388264612
8,C,0,0.0
8,C,1,1.5869501030320696
8,C,3,1.8556873401513962
8,C,6,1.8327120614669072
8,C,12,1.5773230915167016
8,C,25,1.8834413971829507
9,C,0,0.0
9,C,1,1.4143404668028248
9,C,3,1.6418976666302072
9,C,6,1.6357561379047405
9,C,12,1.6190820799022407
9,C,25,1.6361517108390164
10,C,0,0.0
10,C,1,2.0694113204433
10,C,3,2.197173927844723
10,C,6,2.300186589051671
10,C,12,2.153348040427633
10,C,25,2.4232328858935896
11,I+,0,0.0
11,I+,1,1.563835294931653
11,I+,3,1.9316319949861782
11,I+,6,1.9670354488648498
11,I+,12,2.105517619522414
11,I+,25,2.1709146411728337
12,I+,0,0.0
12,I+,1,1.7412974275060589
12,I+,3,2.0294299430305687
12,I+,6,2.0443420042852143
12,I+,12,2.1223592336654247
12,I+,25,2.2642913893717496
13,I+,0,0.0
13,I+,1,1.8629849969265098
13,I+,3,2.29664467271414
13,I+,6,2.384155928334876
13,I+,12,2.3429978423173736
13,I+,25,2.6316593696193347
14,I+,0,0.0
14,I+,1,1.8210885390661529
14,I+,3,2.058611199962263
14,I+,6,2.1127755093797185
14,I+,12,2.0960557985430697
14,I+,25,2.3195276064710315
15,I+,0,0.0
15,I+,1,1.5721342343024078
15,I+,3,2.064227793845824
15,I+,6,2.069380560252332
15,I+,12,2.0476890279783233
15,I+,25,2.394638310100991
16,I+,0,0.0
16,I+,1,1.7261006308612117
16,I+,3,2.1269369773310483
16,I+,6,2.0255034553632063
16,I+,12,2.2628801625483494
16,I+,25,2.476536228473956
17,I+,0,0.0
17,I+,1,1.6303878145181385
17,I+,3,1.9429425991739493
17,I+,6,2.0005943123856427
17,I+,12,1.9850892689498734
17,I+,25,2.075471148599295
18,I+,0,0.0
18,I+,1,1.6904461127372596
18,I+,3,1.5309473887552114
18,I+,6,1.8245851115408684
18,I+,12,1.6130589380056846
18,I+,25,1.791336144602277
19,I+,0,0.0
19,I+,1,1.429253977442939
19,I+,3,1.6605213007066995
19,I+,6,1.686026202746428
19,I+,12,1.803935641352371
19,I+,25,1.7186276896854142
20,I+,0,0.0
20,I+,1,1.7841531578416583
20,I+,3,2.1517423179801725
20,I+,6,2.1552990837621837
20,I+,12,2.0278073131655754
20,I+,25,2.23044062791974
21,I-,0,0.0
21,I-,1,1.7448777234042425
21,I-,3,1.7152732356352187
21,I-,6,1.970536783470649
21,I-,12,1.8981024647560378
21,I-,25,1.9518091666726571
22,I-,0,0.0
22,I-,1,1.6327552828624157
22,I-,3,1.8029416999816186
22,I-,6,1.9252481629569285
22,I-,12,1.7874357066298592
22,I-,25,1.9436704992331602
23,I-,0,0.0
23,I-,1,1.524333686898923
23,I-,3,1.6248009398551035
23,I-,6,1.7284808773002203
23,I-,12,1.6712608859092224
23,I-,25,1.94392439913927
24,I-,0,0.0
24,I-,1,1.8955299250247497
24,I-,3,2.1883600780883343
24,I-,6,1.9864210103903044
24,I-,12,2.1560654705559563
24,I-,25,2.317567608985267
25,I-,0,0.0
25,I-,1,1.7131719887212626
25,I-,3,1.7791232638793537
25,I-,6,1.827859538453737
25,I-,12,1.9741564464599357
25,I-,25,1.8669742724331633
26,I-,0,0.0
26,I-,1,1.6128633853820398
26,I-,3,1.7819362240379961
26,I-,6,1.9492262421128983
26,I-,12,1.9150156682254447
26,I-,25,1.840991282562238
27,I-,0,0.0
27,I-,1,1.5350397060417582
27,I-,3,1.797248808783075
27,I-,6,1.7904626803603685
27,I-,12,1.8841652685842616
27,I-,25,1.9588155339866906
28,I-,0,0.0
28,I-,1,1.7422482609565917
28,I-,3,1.742531798442852
28,I-,6,1.7411135951101515
28,I-,12,1.9818731250433441
28,I-,25,1.9753774195538478
29,I-,0,0.0
29,I-,1,1.3978671884570946
29,I-,3,1.6881516052328769
29,I-,6,1.5111174608091489
29,I-,12,1.6717080928586543
29,I-,25,1.806873274825465
30,I-,0,0.0
30,I-,1,1.2364980736371645
30,I-,3,1.413675086534269
30,I-,6,1.452694415997731
30,I-,12,1.5296685925662654
30,I-,25,1.4497378267891219
