ID,Exp,R2,Eaten
1,C,0,0.0
1,C,1,1.6344711991891299
1,C,3,2.028857165312743
1,C,6,1.9724210839641998
1,C,12,2.0347418697657043
1,C,25,2.1394904100687793
2,C,0,0.0
2,C,1,1.7732565405375706
2,C,3,2.0027530652320467
2,C,6,2.2732827726357465
2,C,12,2.0178964783568674
2,C,25,2.3072469967091007
3,C,0,0.0
3,C,1,1.8198542652641772
3,C,3,2.1274967466065746
3,C,6,2.1869268317664243
3,C,12,2.209425359701992
3,C,25,2.381584399419862
4,C,0,0.0
4,C,1,1.4994772951132571
4,C,3,1.7090576406392854
4,C,6,1.7355291409164468
4,C,12,1.7091634285962822
4,C,25,1.785193437673739
5,C,0,0.0
5,C,1,1.9123101871813333
5,C,3,2.4646588597908803
5,C,6,2.181856533326444
5,C,12,2.254495577504515
5,C,25,2.230158778985475
6,C,0,0.0
6,C,1,1.7338925347479548
6,C,3,1.8628290523699895
6,C,6,2.037832836318184
6,C,12,1.8856021689192257
6,C,25,2.0773693849655275
7,C,0,0.0
7,C,1,1.5173227781272434
7,C,3,1.6339190880279166
7,C,6,1.9277938189535
7,C,12,1.7308947281101459
7,C,25,1.8054873353115308
8,C,0,0.0
8,C,1,1.7023300780525892
8,C,3,1.8414587469241905
8,C,6,1.9233862557634913
8,C,12,2.202223921370556
8,C,25,2.174130282851256
9,C,0,0.0
9,C,1,1.5915278596380371
9,C,3,1.7825028825061262
9,C,6,1.8120004081562069
9,C,12,1.9001737257468538
9,C,25,1.7988371168818864
10,C,0,0.0
10,C,1,1.6532040868980358
10,C,3,1.7550761889577047
10,C,6,1.9721404150867186
10,C,12,2.072371141899775
10,C,25,2.0454216772844998
11,C,0,0.0
11,C,1,1.4893067248055833
11,C,3,1.637188860488544
11,C,6,1.7753130993570931
11,C,12,1.7080236882539133
11,C,25,1.8294312638780568
12,C,0,0.0
12,C,1,1.730671323260619
12,C,3,1.933704626953066
12,C,6,2.0708924419644568
12,C,12,2.1061145752081094
12,C,25,2.3132853565171816
13,C,0,0.0
13,C,1,1.5243794160257707
13,C,3,1.8589382271225399
13,C,6,1.7868929230788106
13,C,12,2.0252284018780617
13,C,25,1.8530048790222051
14,C,0,0.0
14,C,1,1.4752871422375122
14,C,3,1.8284547282721078
14,C,6,1.9411000797345181
14,C,12,1.7530831338175779
14,C,25,1.7893957461373127
15,C,0,0.0
15,C,1,1.929100877289382
15,C,3,2.2065179614929713
15,C,6,2.3100085593454964
15,C,12,2.2134543247790464
15,C,25,2.1335642658400933
16,C,0,0.0
16,C,1,1.584218026575286
16,C,3,2.013963325436851
16,C,6,1.9689043566710518
16,C,12,1.9753557345065116
16,C,25,2.024040247958828
17,C,0,0.0
17,C,1,1.6997937664306597
17,C,3,1.7478043417947675
17,C,6,1.820109325289241
17,C,12,1.9008874379209761
17,C,25,1.8803026128553815
18,C,0,0.0
18,C,1,1.696473025472678
18,C,3,2.1854177374203356
18,C,6,2.2288177123466952
18,C,12,2.1817770176381437
18,C,25,2.2715711055102874
19,C,0,0.0
19,C,1,2.1826742266009096
19,C,3,2.034985956044735
19,C,6,2.127495999939282
19,C,12,2.2034928054157317
19,C,25,2.2457346887296863
20,C,0,0.0
20,C,1,1.5442245122595428
20,C,3,1.8627843334159013
20,C,6,1.6282019494351567
20,C,12,1.9254731731322643
20,C,25,1.7891498328825
21,C,0,0.0
21,C,1,1.9435041471829713
21,C,3,2.079964950208066
21,C,6,1.974048131775994
21,C,12,1.9795628830113663
21,C,25,2.096647826344832
22,C,0,0.0
22,C,1,1.6506480807240593
22,C,3,1.8116276090059231
22,C,6,2.0475795041957747
22,C,12,1.7796015685682323
22,C,25,1.8431647253811683
23,C,0,0.0
23,C,1,1.7858517007568793
23,C,3,2.0172270864728294
23,C,6,2.0419616756817254
23,C,12,2.2473766308300607
23,C,25,2.0162257224712627
24,C,0,0.0
24,C,1,1.5046811457910945
24,C,3,1.5640340583320775
24,C,6,1.7847664326056492
24,C,12,1.8706598191275925
24,C,25,1.6891120952025116
25,C,0,0.0
25,C,1,1.8263663489302164
25,C,3,2.1678671698109975
25,C,6,2.3325615516365317
25,C,12,2.309068153223035
25,C,25,2.3564960014718532
26,C,0,0.0
26,C,1,1.3863548438877051
26,C,3,1.7111990811642044
26,C,6,1.6947123016135586
26,C,12,1.5931076171247962
26,C,25,1.7221237541340786
27,C,0,0.0
27,C,1,1.5457432661588169
27,C,3,1.7878108998477775
27,C,6,1.7904499297713226
27,C,12,1.7837717791108736
27,C,25,1.6827023313752232
28,C,0,0.0
28,C,1,1.6382984993997123
28,C,3,1.7861599870262819
28,C,6,1.9726278204161019
28,C,12,1.960264092531852
28,C,25,2.092207319485856
29,C,0,0.0
29,C,1,1.6404423548835128
29,C,3,1.8554157176664503
29,C,6,2.043457479626091
29,C,12,1.9652473212126214
29,C,25,2.1206803469382227
30,C,0,0.0
30,C,1,1.6078928438431757
30,C,3,1.7422296221936393
30,C,6,1.8656011527299632
30,C,12,1.9987956124658168
30,C,25,2.001045288607055
31,C,0,0.0
31,C,1,1.5983915944241356
31,C,3,1.8825690329064835
31,C,6,2.0952335496263914
31,C,12,2.051915139592528
31,C,25,2.07033499663659
32,C,0,0.0
32,C,1,1.8167828469415612
32,C,3,2.3978907387109256
32,C,6,2.225808596788737
32,C,12,2.3485570426109175
32,C,25,2.2755678691715255
33,C,0,0.0
33,C,1,1.9090345982427073
33,C,3,2.226428799235755
33,C,6,2.1583615461713137
33,C,12,2.2702759226555065
33,C,25,2.2238630466897367
34,C,0,0.0
34,C,1,1.6195796005063279
34,C,3,1.7209340458946267
34,C,6,1.8961352491395336
34,C,12,1.7113713075547383
34,C,25,1.6790490605152002
35,C,0,0.0
35,C,1,1.589666744444395
35,C,3,1.7038411091506798
35,C,6,1.7951995617423864
35,C,12,1.7748054806197502
35,C,25,1.758613539958496
36,C,0,0.0
36,C,1,1.7711116173812411
36,C,3,2.0544982559677467
36,C,6,2.1586881946842396
36,C,12,2.0999325866396203
36,C,25,2.391677193326803
37,C,0,0.0
37,C,1,1.9640512261951037
37,C,3,2.200727658515108
37,C,6,2.437427849292091
37,C,12,2.230328261875309
37,C,25,2.3345734291477163
38,C,0,0.0
38,C,1,1.7863539476995205
38,C,3,2.17055923296989
38,C,6,2.144816548900924
38,C,12,2.305685668198798
38,C,25,2.272317687079199
39,C,0,0.0
39,C,1,1.4361541917624185
39,C,3,1.5448555967705146
39,C,6,1.6561904672211833
39,C,12,1.6650640218470827
