"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a",0.14277596006,0.0445129354012059,0.0570935,0.229205925,986.003791925842,1.0010564889605
"h",-0.990316332,0.0304097174963017,-1.050881,-0.93376255,871.905206175366,0.999463605467379
"a_Exp",0.03285149858075,0.0544940853107177,-0.0752715475,0.1362689,1002.23077749994,1.00420312690091
"h_Exp",0.0417816307658,0.0364071546824583,-0.03027155,0.114827475,918.490101111211,1.0020901234556
"a_Intercept[1]",0.008213030774805,0.0623232072881381,-0.109187575,0.13178745,2375.0641863381,0.999292894328351
"a_Intercept[2]",0.00027296051295,0.0611828046092972,-0.116832225,0.117824275,2475.90026759177,0.999530379918969
"a_Intercept[3]",0.0373138010394,0.0563533899763656,-0.07185219,0.1508598,2408.29102792509,0.999847039221819
"a_Intercept[4]",-0.00055654879715,0.0650333735241085,-0.1298997,0.129291575,2798.79140405115,1.00014254679708
"a_Intercept[5]",-0.0317315147745625,0.0661160311552024,-0.15686645,0.1007185,3119.90942085295,0.99916269675175
"a_Intercept[6]",-0.00557204731815,0.0637491700861859,-0.129882075,0.119346925,2642.95926670085,1.00080028145735
"a_Intercept[7]",0.0019620493382,0.0679088344053085,-0.12569305,0.13214305,2254.79983157257,1.00123931559746
"a_Intercept[8]",0.0257392600573,0.0631416528140494,-0.0979260999999999,0.153278325,2555.97017174696,1.00017715054924
"a_Intercept[9]",-0.03087421233165,0.0641351643995322,-0.166267875,0.0988721924999999,2737.16174941528,0.999313748382954
"a_Intercept[10]",-0.01832529747925,0.0669313187698803,-0.147331425,0.11213625,2544.88048197556,0.999128702283589
"a_Intercept[11]",0.0358235555643,0.0597748951182799,-0.083000485,0.154448175,2501.22259605257,0.999972487750744
"a_Intercept[12]",0.00983585878504,0.0611280427152658,-0.106375625,0.1342397,2654.64560848245,0.998848647665812
"a_Intercept[13]",0.00592997345499,0.0622903155400002,-0.11369725,0.13095785,2096.43727801924,0.999777883261938
"a_Intercept[14]",-0.0327349707915,0.0708882365427162,-0.16839245,0.10531755,2508.36694227221,1.00250329878446
"a_Intercept[15]",-0.01245720060635,0.0631566501364967,-0.140427025,0.1090015,1741.06389248871,1.00051583904914
"a_Intercept[16]",-0.01904874513895,0.0640731753584515,-0.1420595,0.106690975,2539.90939715904,1.00008115687588
"a_Intercept[17]",0.0338344706293,0.0560685514420842,-0.0756602575,0.140178375,2328.34588564198,0.999669266438854
"a_Intercept[18]",0.019339468475,0.0608278254133449,-0.102510075,0.139589275,2656.29260909387,0.99908621929942
"a_Intercept[19]",-0.01544989023555,0.0607967263259503,-0.139017575,0.100956725,1913.78743866085,1.00110207693958
"a_Intercept[20]",-0.0165095011906,0.0649004825966455,-0.1394316,0.111338225,2242.02295918869,0.999691216011529
"a_Intercept[21]",-0.0113448333318,0.066562873102343,-0.144763325,0.120654425,2740.28745959385,0.998483195794258
"a_Intercept[22]",-0.00738224931985,0.0651358128355503,-0.13222935,0.12277645,2226.49342730673,0.998607570129199
"a_Intercept[23]",0.018686083450115,0.0642115954232895,-0.100427075,0.1481229,2859.05085447104,0.998916651211833
"a_Intercept[24]",-0.012765050869809,0.0598191142289011,-0.1377851,0.104939625,2132.96784022296,0.999424215564614
"a_Intercept[25]",0.03404898301155,0.0630228663771155,-0.0757337075,0.159920325,1889.60534345877,1.00093829393174
"a_Intercept[26]",-0.02151942839355,0.0654567374717557,-0.151384575,0.1084385,3010.58231153391,0.998910425758377
"a_Intercept[27]",0.0030414278606,0.0629707210684233,-0.121493,0.12977045,2631.43664084169,1.0017273788938
"a_Intercept[28]",0.01345501623595,0.0620339975390482,-0.101699075,0.140307,2160.13222809412,0.999458048110988
"a_Intercept[29]",0.044330118445355,0.0616609683969997,-0.0716387975,0.1710763,2267.13998374061,0.999399464227684
"a_Intercept[30]",0.00021676316815,0.0640466748222715,-0.132585125,0.120204725,2080.50490005253,0.999574010618505
"a_Intercept[31]",0.00102872421055,0.0629821624727894,-0.1204943,0.1239447,2230.5596521582,0.998664043412276
"a_Intercept[32]",-0.00036771721125,0.0674950950508084,-0.136520825,0.134634275,2121.52799720403,1.00148334773448
"a_Intercept[33]",-0.0084915460425,0.0685588741415513,-0.14769795,0.1249001,2296.24551083895,1.00061829971444
"a_Intercept[34]",0.0153934816016,0.0633676079788973,-0.1088338,0.140193625,3412.6557286766,0.998820975804548
"a_Intercept[35]",-0.03231017122545,0.0639358818817132,-0.162784575,0.09376056,2651.71486624494,0.998870913303835
"a_Intercept[36]",-0.0049023457052,0.0632371478938095,-0.129971825,0.118500475,3579.97539801687,0.999316122279835
"a_Intercept[37]",-0.02368172714675,0.0718434903911205,-0.167337075,0.1176621,2652.87796250941,0.999707769671795
"a_Intercept[38]",-0.024528355846,0.0652823001804711,-0.159277825,0.10286725,2602.81969606734,0.999500627800853
"a_Intercept[39]",-0.0051822473783,0.0652532916071363,-0.1319235,0.129475525,3109.89215750574,0.998304025599057
"a_Intercept[40]",0.00062327339838,0.0632826963499733,-0.124383675,0.127031975,2250.12156471896,0.999483910358098
"a_Intercept[41]",-0.010121523827335,0.0650991610681858,-0.138825025,0.11428235,3272.83447928165,0.999704147432619
"a_Intercept[42]",0.0231363872724,0.0628475850248356,-0.09748509,0.1461732,2527.88955424576,0.999333912702136
"a_Intercept[43]",0.0188527895398,0.0637661161645669,-0.102654175,0.1448454,2638.01655017243,0.999404992354847
"a_Intercept[44]",-0.0334714513475,0.0600873680918139,-0.154577925,0.0828103825,1964.57129208242,0.999228035109213
"a_Intercept[45]",0.015662417454,0.05857188868831,-0.0973172825,0.126079525,2622.56767614985,0.998421747801893
"h_Intercept[1]",-0.05216133314045,0.0507143956048963,-0.151840475,0.04481971,1893.23947761539,0.998372733701699
"h_Intercept[2]",-0.05151484564318,0.0534629589934413,-0.1566654,0.0499319524999998,1904.05334901867,1.00104527865338
"h_Intercept[3]",-0.1387804017245,0.0488408351401781,-0.2374948,-0.0474023050000001,1197.83878601762,1.00304235086722
"h_Intercept[4]",-0.01976739414665,0.0490326664998741,-0.118167025,0.0771725875,2248.72228018962,1.00155082515671
"h_Intercept[5]",0.0770980440115,0.0543070293216983,-0.0249685275,0.1939491,2464.72327944336,0.998972282616036
"h_Intercept[6]",0.0241554541607,0.0503899096681106,-0.0761491975,0.1229194,2661.05962932615,0.999730344448137
"h_Intercept[7]",0.073465331231,0.0509090155458211,-0.02730306,0.173074425,2144.89408408342,1.00161173402483
"h_Intercept[8]",-0.0244002361525,0.0458336421400931,-0.11524645,0.06458752,2393.27169746837,0.998987894019342
"h_Intercept[9]",0.03368944477275,0.049448702425975,-0.0612240525,0.130287975,2321.05537322468,0.999957870559147
"h_Intercept[10]",0.05143448999125,0.0530577503984122,-0.05083176,0.155484625,1998.24194601423,1.00031471446382
